FIPS,County,City,Year,Estimate,Primary Point
19185,Wayne,Balance of Wayne County,July 01 2011,2656,POINT (-93.3273639 40.7394702)
1917985,Palo Alto,Cylinder,July 01 2017,85,POINT (-94.5511492 43.089664)
1981840,Linn,Walford (pt.),April 01 2010,382,POINT (-91.8305169 41.8796623)
1978195,Ringgold,Tingley,April 01 2010,184,POINT (-94.195803 40.852747)
1907750,Boone,Boxholm,April 01 2010,195,POINT (-94.1062028 42.1736058)
1934500,Shelby,Harlan,July 01 2014,4975,POINT (-95.3268616 41.6495154)
1910135,Clinton,Camanche,July 01 2015,4351,POINT (-90.2766777 41.7927587)
1923970,Mahaska,Eddyville (pt.),July 01 2016,220,POINT (-92.6297911 41.1592059)
1976260,Bremer,Sumner (pt.),July 01 2015,1988,POINT (-92.0974233 42.8494642)
1941565,Wapello,Kirkville,July 01 2018,174,POINT (-92.503587 41.1422489)
1916545,Woodbury,Correctionville,July 01 2011,817,POINT (-95.7830202 42.4771854)
1941610,Crawford,Kiron,July 01 2017,271,POINT (-95.3272682 42.1941298)
1914970,Page,Coin,July 01 2012,188,POINT (-95.2348731 40.6560633)
1959520,Mitchell,Orchard,July 01 2017,71,POINT (-92.7753132 43.2273862)
1981120,Tama,Vining,July 01 2014,49,POINT (-92.3875202 41.990983)
1932970,Clay,Greenville,July 01 2011,74,POINT (-95.1461167 43.0169781)
1958170,Jasper,Oakland Acres,July 01 2011,155,POINT (-92.821163 41.7204392)
1904195,Webster,Badger,July 01 2014,549,POINT (-94.1445463 42.6141459)
1901315,Butler,Allison,July 01 2015,1018,POINT (-92.7957606 42.7517481)
1982335,Washington,Washington,April 01 2010,7266,POINT (-91.6928008 41.2982237)
1975810,Webster,Stratford (pt.),July 01 2018,28,POINT (-93.9272412 42.2691235)
1935670,Keokuk,Hedrick,July 01 2012,757,POINT (-92.3079494 41.1711634)
1976755,Kossuth,Swea City,July 01 2016,518,POINT (-94.3109198 43.3832998)
1937200,Woodbury,Hornick,July 01 2018,215,POINT (-96.0970575 42.2304643)
1974280,Clay,Spencer,July 01 2018,11031,POINT (-95.1533205 43.1468576)
1967575,Fremont,Riverton,July 01 2012,290,POINT (-95.5686127 40.6868183)
1969375,Humboldt,Rutland,July 01 2015,122,POINT (-94.2951894 42.7614337)
1904330,Jackson,Baldwin,July 01 2013,111,POINT (-90.8385145 42.0732052)
1939765,Polk,Johnston,July 01 2013,19052,POINT (-93.7172578 41.6856012)
1945840,Harrison,Little Sioux,July 01 2011,168,POINT (-96.0274587 41.8082038)
1936480,Plymouth,Hinton,July 01 2017,948,POINT (-96.2974754 42.6212975)
1901090,Franklin,Alexander,July 01 2011,176,POINT (-93.4786472 42.8044201)
1911215,Pottawattamie,Carter Lake,July 01 2013,3772,POINT (-95.9169331 41.2884608)
1947055,Clayton,Luana,July 01 2012,267,POINT (-91.4557178 43.0594516)
1905590,Benton,Belle Plaine,July 01 2018,2443,POINT (-92.2753004 41.8952524)
1958890,Henry,Olds,July 01 2018,222,POINT (-91.544229 41.1341655)
19147,Palo Alto,Balance of Palo Alto County,April 01 2010,2567,POINT (-94.6781371 43.0820643)
1904555,Mahaska,Barnes City (pt.),July 01 2016,154,POINT (-92.4696188 41.5070595)
1944490,Adams,Lenox (pt.),July 01 2018,0,POINT (-94.5583357 40.8830419)
1900865,Buena Vista,Albert City,July 01 2014,699,POINT (-94.949139 42.7816026)
1928425,Winneshiek,Fort Atkinson,July 01 2016,327,POINT (-91.9347752 43.144115)
1940665,Worth,Kensett,July 01 2013,262,POINT (-93.2106319 43.3534357)
1983550,Kossuth,West Bend (pt.),July 01 2013,24,POINT (-94.4456756 42.9599409)
1922980,Muscatine,Durant (pt.),July 01 2011,5,POINT (-90.9119451 41.6014845)
1975675,Story,Story City,July 01 2014,3447,POINT (-93.5865496 42.186602)
1947055,Clayton,Luana,July 01 2011,267,POINT (-91.4557178 43.0594516)
1983055,Keokuk,Webster,July 01 2011,87,POINT (-92.1715154 41.4378773)
1905365,Taylor,Bedford,July 01 2011,1436,POINT (-94.7240366 40.6711504)
1977340,Carroll,Templeton,July 01 2016,342,POINT (-94.9415676 41.9181145)
1941565,Wapello,Kirkville,July 01 2014,171,POINT (-92.503587 41.1422489)
1919090,Decatur,Davis City,July 01 2018,186,POINT (-93.8126017 40.6401518)
1966720,Keokuk,Richland,July 01 2013,572,POINT (-91.9960251 41.1857094)
1980490,Decatur,Van Wert,July 01 2011,218,POINT (-93.7918044 40.8710641)
1906940,Monona,Blencoe,July 01 2016,200,POINT (-96.0821104 41.9303416)
1907075,Scott,Blue Grass (pt.),July 01 2014,1588,POINT (-90.7648763 41.5095767)
1916950,Plymouth,Craig,July 01 2015,91,POINT (-96.3095738 42.8955639)
1901000,Linn,Alburnett,April 01 2010,673,POINT (-91.6209167 42.1493012)
1956910,Floyd,Nora Springs (pt.),July 01 2017,1355,POINT (-93.0094807 43.1445424)
1974505,Jackson,Springbrook,July 01 2013,148,POINT (-90.479117 42.1655919)
1982200,Louisa,Wapello,July 01 2014,2047,POINT (-91.188117 41.1770957)
1968520,Pocahontas,Rolfe,July 01 2015,555,POINT (-94.5313396 42.8129005)
1974505,Jackson,Springbrook,July 01 2018,143,POINT (-90.479117 42.1655919)
1939855,Worth,Joice,July 01 2014,215,POINT (-93.4581067 43.3647892)
1919360,Decatur,Decatur City,July 01 2016,184,POINT (-93.8327285 40.7423389)
1968070,Floyd,Rockford,July 01 2012,849,POINT (-92.9477776 43.0524158)
1923970,Monroe,Eddyville (pt.),July 01 2013,0,POINT (-92.6297911 41.1592059)
1935670,Keokuk,Hedrick,July 01 2015,744,POINT (-92.3079494 41.1711634)
1970095,Warren,St. Marys,April 01 2010,127,POINT (-93.733872 41.3076511)
1956550,Dubuque,New Vienna,July 01 2015,421,POINT (-91.1138852 42.5477204)
1933240,Emmet,Gruver,July 01 2011,91,POINT (-94.703558 43.3931285)
1953625,Jones,Monticello,July 01 2016,112,POINT (-91.1836421 42.2303515)
1940980,Keokuk,Keota (pt.),July 01 2017,963,POINT (-91.953364 41.3654267)
1958620,Fayette,Oelwein,April 01 2010,6415,POINT (-91.9131952 42.6713674)
19111,Lee,Balance of Lee County,July 01 2014,10655,POINT (-91.479264 40.6419764)
1925860,Emmet,Estherville,July 01 2018,5686,POINT (-94.8343632 43.3998352)
1904870,Ida,Battle Creek,July 01 2012,708,POINT (-95.6002651 42.3168556)
1919945,Crawford,Denison,July 01 2011,8349,POINT (-95.3528292 42.0159708)
1912765,Floyd,Charles City,July 01 2014,7483,POINT (-92.6745202 43.0643521)
1916050,Carroll,Coon Rapids (pt.),April 01 2010,1305,POINT (-94.6784541 41.8747687)
1973335,Woodbury,Sioux City (pt.),July 01 2015,82659,POINT (-96.3901359 42.4958196)
1976485,O'Brien,Sutherland,July 01 2015,614,POINT (-95.4950352 42.9728304)
1920125,Lucas,Derby,July 01 2012,113,POINT (-93.4564833 40.9303355)
1930900,Marshall,Gilman,July 01 2011,513,POINT (-92.7881403 41.878809)
1972345,Boone,Sheldahl (pt.),July 01 2011,29,POINT (-93.6967164 41.8642901)
19011,Benton,Balance of Benton County,July 01 2011,9037,POINT (-92.0656912 42.0801864)
19013,Black Hawk,Balance of Black Hawk County,July 01 2012,10433,POINT (-92.3088197 42.4700957)
1973515,Boone,Slater (pt.),July 01 2012,0,POINT (-93.686299 41.8792234)
1978915,Bremer,Tripoli,July 01 2017,1348,POINT (-92.2578939 42.8083304)
1901315,Butler,Allison,July 01 2014,1028,POINT (-92.7957606 42.7517481)
1928245,Pocahontas,Fonda,July 01 2012,611,POINT (-94.8459417 42.581696)
1932295,Montgomery,Grant,July 01 2013,89,POINT (-94.9850119 41.1427142)
19195,Worth,Balance of Worth County,July 01 2013,2904,POINT (-93.2608476 43.3773984)
1978825,Pottawattamie,Treynor,July 01 2018,964,POINT (-95.6063422 41.2321933)
1900370,Adair,Adair (pt.),July 01 2013,727,POINT (-94.6434132 41.5003898)
1966585,Mitchell,Riceville (pt.),July 01 2018,452,POINT (-92.5541081 43.362157)
19137,Montgomery,Balance of Montgomery County,April 01 2010,2573,POINT (-95.1563758 41.03014)
1947100,Lucas,Lucas,July 01 2013,211,POINT (-93.4610494 41.0322107)
19049,Dallas,Balance of Dallas County,July 01 2015,10430,POINT (-94.0397374 41.6848862)
1932790,Adair,Greenfield,July 01 2014,1905,POINT (-94.4591514 41.305599)
1914655,Tama,Clutier,July 01 2018,205,POINT (-92.4036082 42.0793295)
1901315,Butler,Allison,July 01 2012,1023,POINT (-92.7957606 42.7517481)
1901495,Buena Vista,Alta,April 01 2010,1883,POINT (-95.3045104 42.6716795)
1966360,Buena Vista,Rembrandt,July 01 2012,208,POINT (-95.1656104 42.8257187)
19029,Cass,Balance of Cass County,July 01 2018,3286,POINT (-94.9278266 41.3314876)
1970410,O'Brien,Sanborn,July 01 2012,1387,POINT (-95.655256 43.1813704)
1977565,Union,Thayer,July 01 2011,59,POINT (-94.0497355 41.0289671)
1950610,Fayette,Maynard,July 01 2014,502,POINT (-91.8774931 42.7739217)
1982470,Allamakee,Waterville,July 01 2015,142,POINT (-91.2960274 43.2083217)
1921000,Warren,Des Moines (pt.),July 01 2011,214,POINT (-93.6104316 41.5725032)
1926760,Dubuque,Farley,July 01 2011,1543,POINT (-91.0091147 42.4437548)
1979905,Benton,Urbana,July 01 2017,1470,POINT (-91.887274 42.2284093)
1917670,Hancock,Crystal Lake,July 01 2014,244,POINT (-93.792707 43.2229779)
1956280,Scott,New Liberty,July 01 2011,139,POINT (-90.8779898 41.7159641)
1948180,Madison,Macksburg,July 01 2014,114,POINT (-94.1850673 41.2146954)
1987690,Dubuque,Zwingle (pt.),July 01 2017,66,POINT (-90.6874539 42.2971718)
1914025,Cerro Gordo,Clear Lake,July 01 2017,7637,POINT (-93.3739922 43.1346536)
1940395,Story,Kelley,July 01 2015,306,POINT (-93.6654994 41.9508068)
1980805,Poweshiek,Victor (pt.),July 01 2016,109,POINT (-92.2947426 41.7307354)
1958710,Dickinson,Okoboji,July 01 2015,822,POINT (-95.1392893 43.3912199)
19093,Ida,Balance of Ida County,July 01 2011,2180,POINT (-95.5134962 42.3868747)
1982200,Louisa,Wapello,July 01 2015,2050,POINT (-91.188117 41.1770957)
1953355,Jasper,Monroe,July 01 2012,1820,POINT (-93.1037482 41.5189365)
1954705,Henry,Mount Pleasant,July 01 2017,8678,POINT (-91.5452743 40.9621765)
1952500,Van Buren,Milton,July 01 2016,409,POINT (-92.1621496 40.671185)
1950520,Story,Maxwell,July 01 2011,926,POINT (-93.3959877 41.8913844)
1904105,Palo Alto,Ayrshire,July 01 2014,137,POINT (-94.8335229 43.0395515)
1961365,Scott,Panorama Park,July 01 2013,136,POINT (-90.4536976 41.5556125)
19155,Pottawattamie,Balance of Pottawattamie County,July 01 2014,17962,POINT (-95.5423935 41.3366123)
1917175,Pottawattamie,Crescent,July 01 2017,615,POINT (-95.8581593 41.3654889)
1942960,Decatur,Lamoni,July 01 2017,2261,POINT (-93.934323 40.6204912)
1911035,Mitchell,Carpenter,July 01 2018,107,POINT (-93.0172679 43.414988)
1965055,Davis,Pulaski,July 01 2016,278,POINT (-92.2737906 40.6928807)
1983685,Des Moines,West Burlington,July 01 2013,3049,POINT (-91.1763695 40.8218381)
1924915,Montgomery,Elliott,July 01 2016,327,POINT (-95.1628646 41.1493673)
1975135,Marshall,State Center,July 01 2013,1476,POINT (-93.1652582 42.0148885)
1932115,Louisa,Grandview,July 01 2011,554,POINT (-91.1882749 41.2772257)
1911755,Black Hawk,Cedar Falls,July 01 2013,40653,POINT (-92.4532603 42.5196928)
19157,Poweshiek,Balance of Poweshiek County,July 01 2011,5771,POINT (-92.5314684 41.6864422)
1903655,Audubon,Audubon,July 01 2012,2073,POINT (-94.9285729 41.7183297)
1930045,Tama,Garwin,July 01 2015,507,POINT (-92.6790893 42.0934589)
1960690,Jones,Oxford Junction,July 01 2013,489,POINT (-90.954121 41.9837298)
1930945,Pocahontas,Gilmore City (pt.),July 01 2013,222,POINT (-94.4369129 42.7269003)
1986835,Harrison,Woodbine,April 01 2010,1459,POINT (-95.7067259 41.7346202)
1939675,Hamilton,Jewell Junction,July 01 2014,1183,POINT (-93.6399868 42.3105346)
1940260,Hancock,Kanawha,July 01 2013,632,POINT (-93.7932443 42.9341778)
1983145,Hamilton,Webster City,July 01 2011,7954,POINT (-93.8166983 42.4623327)
1913395,Appanoose,Cincinnati,July 01 2016,346,POINT (-92.9222293 40.6309489)
19195,Worth,Balance of Worth County,April 01 2010,2950,POINT (-93.2608476 43.3773984)
1972660,Dubuque,Sherrill,April 01 2010,177,POINT (-90.7841885 42.6043231)
1958710,Dickinson,Okoboji,July 01 2013,822,POINT (-95.1392893 43.3912199)
1921045,Dallas,De Soto,July 01 2014,1082,POINT (-94.009715 41.5363839)
1961860,Madison,Patterson,July 01 2013,164,POINT (-93.8771716 41.3484882)
1949935,Keokuk,Martinsburg,July 01 2018,110,POINT (-92.2519181 41.1786664)
1971130,Crawford,Schleswig,July 01 2018,878,POINT (-95.4352246 42.1607169)
1976755,Kossuth,Swea City,July 01 2011,535,POINT (-94.3109198 43.3832998)
1912765,Floyd,Charles City,July 01 2015,7435,POINT (-92.6745202 43.0643521)
1928425,Winneshiek,Fort Atkinson,July 01 2015,333,POINT (-91.9347752 43.144115)
1908155,Buchanan,Brandon,July 01 2013,308,POINT (-92.0032219 42.3150339)
1932475,Sioux,Granville,July 01 2012,314,POINT (-95.8748315 42.9852282)
1932745,Butler,Greene (pt.),July 01 2017,1077,POINT (-92.8043393 42.8969089)
1950205,Delaware,Masonville,July 01 2017,121,POINT (-91.5915017 42.4798479)
1935220,Marshall,Haverhill,July 01 2017,171,POINT (-92.9607403 41.9441206)
1901630,Polk,Altoona,July 01 2018,18844,POINT (-93.4768466 41.6468624)
1914115,Cherokee,Cleghorn,July 01 2012,235,POINT (-95.7126506 42.812537)
1924870,Black Hawk,Elk Run Heights,July 01 2018,1156,POINT (-92.2500729 42.4661346)
1981885,Linn,Walker,July 01 2012,797,POINT (-91.7808739 42.2873128)
1926940,Calhoun,Farnhamville (pt.),July 01 2011,365,POINT (-94.407793 42.2767837)
1932520,Taylor,Gravity,July 01 2016,185,POINT (-94.7435014 40.7601646)
1963525,Polk,Pleasant Hill,April 01 2010,8785,POINT (-93.487681 41.5725717)
1946425,Scott,Long Grove,July 01 2018,868,POINT (-90.5802816 41.692241)
1947865,Pottawattamie,McClelland,July 01 2014,152,POINT (-95.68343 41.3284733)
1930900,Marshall,Gilman,July 01 2015,502,POINT (-92.7881403 41.878809)
1914520,Polk,Clive (pt.),July 01 2013,11397,POINT (-93.7972549 41.6144592)
1921720,Scott,Donahue,April 01 2010,346,POINT (-90.6746301 41.6915346)
1962040,Mahaska,Pella (pt.),July 01 2012,1,POINT (-92.9177547 41.4051393)
1916230,Johnson,Coralville,July 01 2018,21664,POINT (-91.5968051 41.6989902)
1968205,Sioux,Rock Valley,July 01 2013,3580,POINT (-96.2915964 43.2044873)
1953265,Jackson,Monmouth,July 01 2017,152,POINT (-90.8821601 42.0751031)
1973920,Calhoun,Somers,July 01 2013,108,POINT (-94.4309564 42.3787135)
1925860,Emmet,Estherville,July 01 2013,6066,POINT (-94.8343632 43.3998352)
1911305,Dubuque,Cascade (pt.),April 01 2010,1767,POINT (-91.0045814 42.3019211)
19111,Lee,Balance of Lee County,April 01 2010,10837,POINT (-91.479264 40.6419764)
1914925,Linn,Coggon,July 01 2013,669,POINT (-91.5303669 42.2783061)
1916140,Washington,Coppock (pt.),April 01 2010,13,POINT (-91.7150539 41.163535)
1902755,Crawford,Arion,April 01 2010,108,POINT (-95.4623218 41.9481606)
1931035,Tama,Gladbrook,July 01 2016,878,POINT (-92.7150959 42.1860667)
1961815,Greene,Paton,July 01 2016,231,POINT (-94.2550567 42.1642219)
1972300,Shelby,Shelby (pt.),July 01 2014,603,POINT (-95.4505587 41.5066731)
1943680,Marshall,Laurel,July 01 2015,239,POINT (-92.922164 41.884062)
1963075,Harrison,Pisgah,July 01 2017,239,POINT (-95.9263861 41.8304354)
1902080,Clinton,Andover,July 01 2012,102,POINT (-90.2529846 41.9799233)
1922305,Wright,Dows (pt.),July 01 2016,446,POINT (-93.5012304 42.6592854)
1981840,Benton,Walford (pt.),July 01 2013,1060,POINT (-91.8305169 41.8796623)
1963750,Marion,Pleasantville,July 01 2017,1661,POINT (-93.272777 41.3864748)
1951060,Osceola,Melvin,July 01 2011,210,POINT (-95.608646 43.2864738)
1908875,Plymouth,Brunsville,July 01 2018,152,POINT (-96.2667032 42.8109608)
19159,Ringgold,Balance of Ringgold County,April 01 2010,2365,POINT (-94.2439719 40.7352023)
1973155,Mills,Silver City,July 01 2011,244,POINT (-95.6378733 41.1113884)
1912855,Clinton,Charlotte,July 01 2013,383,POINT (-90.4682057 41.9621301)
1983595,Cedar,West Branch (pt.),July 01 2016,2264,POINT (-91.3406612 41.6627654)
1943590,Franklin,Latimer,July 01 2014,494,POINT (-93.3655999 42.762884)
1940260,Hancock,Kanawha,July 01 2016,615,POINT (-93.7932443 42.9341778)
1959835,Clarke,Osceola,July 01 2011,5007,POINT (-93.7796689 41.029945)
19093,Ida,Balance of Ida County,July 01 2013,2190,POINT (-95.5134962 42.3868747)
1905365,Taylor,Bedford,July 01 2017,1393,POINT (-94.7240366 40.6711504)
1929280,Muscatine,Fruitland,July 01 2018,986,POINT (-91.1287744 41.347424)
1958890,Henry,Olds,July 01 2013,230,POINT (-91.544229 41.1341655)
1911215,Pottawattamie,Carter Lake,July 01 2015,3797,POINT (-95.9169331 41.2884608)
1916140,Jefferson,Coppock (pt.),July 01 2012,4,POINT (-91.7150539 41.163535)
1920035,Bremer,Denver,July 01 2015,1820,POINT (-92.3346405 42.6688889)
1901495,Buena Vista,Alta,July 01 2015,1945,POINT (-95.3045104 42.6716795)
1958620,Fayette,Oelwein,July 01 2012,6343,POINT (-91.9131952 42.6713674)
1968385,Monona,Rodney,July 01 2015,59,POINT (-95.9507042 42.2047575)
19093,Ida,Balance of Ida County,April 01 2010,2198,POINT (-95.5134962 42.3868747)
1951150,Cherokee,Meriden,July 01 2017,147,POINT (-95.6340769 42.7945167)
1974820,Mitchell,Stacyville,July 01 2011,475,POINT (-92.7839772 43.4390311)
1921045,Dallas,De Soto,July 01 2012,1083,POINT (-94.009715 41.5363839)
1932475,Sioux,Granville,July 01 2015,311,POINT (-95.8748315 42.9852282)
1965010,Chickasaw,Protivin (pt.),July 01 2012,21,POINT (-92.0891446 43.2164283)
1903340,Crawford,Aspinwall,July 01 2012,40,POINT (-95.1349612 41.9105489)
1940845,Lee,Keokuk,July 01 2013,10663,POINT (-91.403029 40.4095595)
1953310,Clayton,Monona,July 01 2017,1490,POINT (-91.3912037 43.0512734)
1986610,Cass,Wiota,July 01 2018,107,POINT (-94.8874747 41.4010236)
1983775,Washington,West Chester,July 01 2017,149,POINT (-91.8169476 41.3400387)
1908650,Woodbury,Bronson,April 01 2010,322,POINT (-96.2113577 42.4090069)
1975675,Story,Story City,April 01 2010,3431,POINT (-93.5865496 42.186602)
1979500,Pottawattamie,Underwood,July 01 2011,946,POINT (-95.6820111 41.3807698)
1985305,Hardin,Whitten,April 01 2010,149,POINT (-93.0096885 42.2625946)
1937425,Hardin,Hubbard,July 01 2017,811,POINT (-93.3013025 42.3061102)
1903160,Dubuque,Asbury,July 01 2012,4875,POINT (-90.7797272 42.5118375)
1979995,Monona,Ute,July 01 2014,355,POINT (-95.7058299 42.0499538)
1952815,Jasper,Mingo,July 01 2015,301,POINT (-93.2826185 41.7662068)
1949260,Buena Vista,Marathon,July 01 2013,243,POINT (-94.9828656 42.8601931)
1957225,Keokuk,North English (pt.),July 01 2015,9,POINT (-92.0776314 41.5164005)
1945795,Lyon,Little Rock,July 01 2013,454,POINT (-95.880437 43.4454349)
1907210,Humboldt,Bode,July 01 2015,290,POINT (-94.2862417 42.868027)
1964065,Calhoun,Pomeroy,July 01 2016,618,POINT (-94.6778218 42.5519497)
1909820,Clinton,Calamus,April 01 2010,439,POINT (-90.7600146 41.8264945)
1950790,Des Moines,Mediapolis,July 01 2012,1555,POINT (-91.1637445 41.0078886)
1933105,Poweshiek,Grinnell,July 01 2015,9276,POINT (-92.7244148 41.7372767)
19077,Grundy,Balance of Grundy County,July 01 2015,4208,POINT (-94.501055 41.6837548)
1921360,Clay,Dickens,July 01 2015,179,POINT (-95.0223206 43.1339372)
1938820,Sioux,Ireton,April 01 2010,609,POINT (-96.3217494 42.974898)
1906985,Taylor,Blockton,July 01 2015,191,POINT (-94.4779281 40.6168175)
1932295,Montgomery,Grant,July 01 2018,84,POINT (-94.9850119 41.1427142)
1900370,Adair,Adair (pt.),April 01 2010,762,POINT (-94.6434132 41.5003898)
1953625,Jones,Monticello,July 01 2013,115,POINT (-91.1836421 42.2303515)
1959475,Sioux,Orange City,July 01 2018,6107,POINT (-96.0565364 43.0019143)
1950250,Cass,Massena,July 01 2016,341,POINT (-94.7698202 41.2506437)
1980490,Decatur,Van Wert,July 01 2016,209,POINT (-93.7918044 40.8710641)
1968070,Floyd,Rockford,July 01 2016,835,POINT (-92.9477776 43.0524158)
1932160,Polk,Granger (pt.),July 01 2017,252,POINT (-93.8247737 41.7619744)
1982425,Black Hawk,Waterloo,July 01 2011,68454,POINT (-92.3521758 42.4919737)
19173,Taylor,Balance of Taylor County,July 01 2018,2149,POINT (-94.6964148 40.7374324)
19087,Henry,Balance of Henry County,July 01 2018,6399,POINT (-91.5445241 40.9879383)
1900370,Adair,Adair (pt.),July 01 2016,680,POINT (-94.6434132 41.5003898)
1979545,Hardin,Union,July 01 2015,392,POINT (-93.0626769 42.2435351)
1942825,Kossuth,Lakota,July 01 2017,280,POINT (-94.0963165 43.3786517)
1901495,Buena Vista,Alta,July 01 2012,1966,POINT (-95.3045104 42.6716795)
1947055,Clayton,Luana,July 01 2014,273,POINT (-91.4557178 43.0594516)
1905770,Cedar,Bennett,July 01 2015,389,POINT (-90.9738424 41.7398285)
1901630,Polk,Altoona,July 01 2017,18681,POINT (-93.4768466 41.6468624)
1952275,Wayne,Millerton,July 01 2018,42,POINT (-93.3057058 40.8493458)
1944310,Mahaska,Leighton,July 01 2015,160,POINT (-92.7864171 41.3387995)
1945795,Lyon,Little Rock,July 01 2017,442,POINT (-95.880437 43.4454349)
1964650,O'Brien,Primghar,April 01 2010,909,POINT (-95.6209034 43.0863786)
1902350,Woodbury,Anthon,July 01 2017,559,POINT (-95.8656328 42.3881341)
1933465,Clayton,Guttenberg,July 01 2013,1874,POINT (-91.1059046 42.7887133)
19099,Jasper,Balance of Jasper County,April 01 2010,12220,POINT (-93.053765 41.6860394)
1946335,Johnson,Lone Tree,July 01 2014,1397,POINT (-91.4262099 41.4866558)
1917490,Union,Cromwell,July 01 2015,105,POINT (-94.4617367 41.0403126)
1919135,Dallas,Dawson,July 01 2014,134,POINT (-94.2203279 41.8430917)
1900505,Dallas,Adel,July 01 2016,4209,POINT (-94.0135968 41.6121709)
1941475,Keokuk,Kinross,July 01 2016,71,POINT (-91.9873035 41.4588773)
1930225,Lyon,George,April 01 2010,1080,POINT (-96.0027092 43.341995)
1921405,Grundy,Dike,July 01 2014,1258,POINT (-92.6255847 42.4641335)
1910225,Story,Cambridge,July 01 2017,815,POINT (-93.5359151 41.9000672)
1976665,Marion,Swan,July 01 2011,72,POINT (-93.3095681 41.4674984)
1951420,Cerro Gordo,Meservey,July 01 2018,241,POINT (-93.4733851 42.9156435)
1957675,Warren,Norwalk (pt.),July 01 2017,10898,POINT (-93.6922661 41.4914536)
1914160,Marshall,Clemons,July 01 2016,145,POINT (-93.158508 42.1138981)
1939675,Hamilton,Jewell Junction,July 01 2015,1183,POINT (-93.6399868 42.3105346)
1900190,Franklin,Ackley (pt.),July 01 2018,36,POINT (-93.0527656 42.5518776)
1903745,Cherokee,Aurelia,July 01 2011,1040,POINT (-95.4368477 42.7130665)
1915240,Story,Colo,July 01 2015,862,POINT (-93.3185991 42.014482)
1922800,Delaware,Dundee,July 01 2018,163,POINT (-91.5461458 42.5798507)
1932160,Polk,Granger (pt.),July 01 2011,224,POINT (-93.8247737 41.7619744)
19001,Adair,Balance of Adair County,July 01 2015,2761,POINT (-94.4709413 41.3307464)
1902305,Polk,Ankeny,July 01 2011,47048,POINT (-93.603264 41.727907)
